x,location_id,sample_id,maize_flour_type,other_types,source,months_since_harvest,village,ward,latitude,longitude,elevation_m,af_ppb,fum_ppm,hh_mill,mill_id,mill_lat,mill_long
24,13nov15_02,10nov15_02_001,sembe,none,purchased,4,Mkoka,Mkoka,-5.813583333,36.43652778,1209,7.9,0.03,mill,10_2,-5.813583333,36.43652778
32,16nov15_02,10nov15_02_002,sembe,wholekmaize,homegrown,3,Mkoka,Mkoka,-5.813583333,36.43652778,1209,10.5,0.04,mill,10_2,-5.813583333,36.43652778
62,19nov15_01,10nov15_03_001,dona,wholekmaize,purchased,4,Mvungurumo,Mkoka,-5.816222222,36.43488889,1190,48,0.17,mill,10_3,-5.816222222,36.43488889
6,10nov15_05,10nov15_03_002,dona,wholekmaize,purchased,4,Mvungurumo,Mkoka,-5.816222222,36.43488889,1190,67.2,0.59,mill,10_3,-5.816222222,36.43488889
11,11nov15_04,10nov15_04_001,dona,wholekmaize,homegrown,4,Mvungurumo,Mkoka,-5.848666667,36.38366667,1172,4,0.72,mill,10_4,-5.848666667,36.38366667
56,18nov15_03,10nov15_05_001,dona,wholekmaize,purchased,4,Mnuku,Mkoka,-5.806027778,36.38044444,1196,16.6,0.95,mill,10_5,-5.806027778,36.38044444
10,11nov15_03,11nov15_01_001,dona,wholekmaize,purchased,4,Ibwaga,Ugogoni,-6.225944444,36.47655556,1180,8.3,0.19,mill,11_1,-6.225944444,36.47655556
12,11nov15_04,11nov15_01_002,dona,wholekmaize,purchased,NA,Ibwaga,Ugogoni,-6.225944444,36.47655556,1180,7.9,0.02,mill,11_1,-6.225944444,36.47655556
59,19nov15_02,11nov15_02_001,dona,wholekmaize,homegrown,5,Ibwaga,Ugogoni,-6.232222222,36.47277778,1178,14.2,0.18,mill,11_2,-6.232222222,36.47277778
64,19nov15_01,11nov15_03_001,dona,wholekmaize,purchased,6,Mautya,Ugogoni,-6.161638889,36.48955556,1110,6.3,0.11,mill,11_3,-6.161638889,36.48955556
42,17nov15_02,11nov15_04_001,dona,wholekmaize,homegrown,5,Mautya,Ugogoni,-6.148722222,36.4755,1030,59.1,0.43,mill,11_4,-6.148722222,36.4755
8,11nov15_01,11nov15_04_002,dona,wholekmaize,purchased,5,Mautya,Ugogoni,-6.148722222,36.4755,1030,16.4,0.06,mill,11_4,-6.148722222,36.4755
30,16nov15_01,12nov01_01_001,sembe,none,purchased,4,Mtanana,Mtanana,-6.043416667,36.57327778,1227,39,0.05,mill,12_1,-6.043416667,36.57327778
58,19nov15_02,12nov15_01_002,dona,wholekmaize,purchased,4,Mtanana,Mtanana,-6.043416667,36.57327778,1227,133.2,0.13,mill,12_1,-6.043416667,36.57327778
9,11nov15_02,12nov15_01_003,dona,wholekmaize,homegrown,4,Mtanana,Mtanana,-6.043416667,36.57327778,1227,44.7,0.72,mill,12_1,-6.043416667,36.57327778
39,17nov15_01,12nov15_02_001,sembe,wholekmaize,homegrown,5,Ndalibo,Mtanana,-5.995944444,36.55066667,1211,3.6,0.01,mill,12_2,-5.995944444,36.55066667
44,17nov15_02,12nov15_02_002,sembe,wholekmaize,homegrown,4,Ndalibo,Mtanana,-5.995944444,36.55066667,1211,8.6,0.02,mill,12_2,-5.995944444,36.55066667
2,10nov15_02,12nov15_03_001,sembe,none,homegrown,4,Ndalibo,Mtanana,-5.992416667,36.55066667,1194,7.6,0.01,mill,12_3,-5.992416667,36.55066667
33,16nov15_02,12nov15_04_001,sembe,none,homegrown,4,Ndalibo,Mtanana,-5.992888889,36.55041667,1195,31.1,0.11,mill,12_4,-5.992888889,36.55041667
48,18nov15_01,13nov15_01_001,sembe,none,purchased,4,Matongoro,Matongoro,-5.804777778,36.46625,1250,48.7,0.04,mill,13_1,-5.804777778,36.46625
51,18nov15_02,13nov15_01_002,sembe,none,purchased,4,Matongoro,Matongoro,-5.804777778,36.46625,1250,141.5,0.49,mill,13_1,-5.804777778,36.46625
19,12nov15_04,13nov15_02_001,sembe,wholekmaize,homegrown,4,Matongoro,Matongoro,-5.806055556,36.46663889,1239,13.1,0.01,mill,13_2,-5.806055556,36.46663889
34,16nov15_03,13nov15_02_003,sembe,none,purchased,4,Matongoro,Matongoro,-5.806055556,36.46663889,1239,6.1,0.13,mill,13_2,-5.806055556,36.46663889
31,16nov15_02,13nov15_03_001,sembe,wholekmaize,homegrown,4,Mlanje,Matongoro,-5.78025,36.46233333,1237,5.8,0.42,mill,13_3,-5.78025,36.46233333
26,13nov15_03,13nov15_03_002,sembe,wholekmaize,purchased,NA,Mlanje,Matongoro,-5.78025,36.46233333,1237,6.8,0.22,mill,13_3,-5.78025,36.46233333
27,13nov15_03,13nov15_03_003,dona,wholekmaize,homegrown,4,Mlanje,Matongoro,-5.78025,36.46233333,1237,1.9,0.67,mill,13_3,-5.78025,36.46233333
38,16nov15_04,13nov1t_02_002,sembe,none,homegrown,4,Matongoro,Matongoro,-5.806055556,36.46663889,1239,3.5,0.03,mill,13_2,-5.806055556,36.46663889
18,12nov15_03,16nov15_01_002,sembe,none,homegrown,5,Pandambili,Pandambili,-6.084194444,36.73338889,1295,6.2,0.02,mill,16_1,-6.084194444,36.73338889
46,17nov15_03,16nov15_01_003,sembe,none,purchased,4,Pandambili,Pandambili,-6.084194444,36.73338889,1295,11.4,0.04,mill,16_1,-6.084194444,36.73338889
41,17nov15_02,16nov15_01_004,sembe,none,purchased,4,Pandambili,Pandambili,-6.084194444,36.73338889,1295,5.4,0.13,mill,16_1,-6.084194444,36.73338889
17,12nov15_02,16nov15_02_001,sembe,none,homegrown,4,Pandambili,Pandambili,-6.084611111,36.73727778,1317,6.3,0.1,mill,16_2,-6.084611111,36.73727778
28,16nov15_01,16nov15_02_002,sembe,none,homegrown,5,Pandambili,Pandambili,-6.084611111,36.73727778,1317,4.1,0.07,mill,16_2,-6.084611111,36.73727778
22,13nov15_02,16nov15_02_003,sembe,none,homegrown,6,Pandambili,Pandambili,-6.084611111,36.73727778,1317,5.8,0.06,mill,16_2,-6.084611111,36.73727778
13,12nov15_01,16nov15_03_001,sembe,none,purchased,4,Silwa,Pandambili,-6.110583333,36.77080556,1339,10.6,0.36,mill,16_3,-6.110583333,36.77080556
36,16nov15_04,16nov15_03_002,sembe,none,purchased,4,Silwa,Pandambili,-6.110583333,36.77080556,1339,97.9,0.84,mill,16_3,-6.110583333,36.77080556
20,13nov15_01,16nov15_04_001,sembe,none,purchased,6,Silwa,Pandambili,-6.09225,36.79147222,1352,50.5,0.07,mill,16_4,-6.09225,36.79147222
54,18nov15_03,16nov15_04_002,dona,none,purchased,5,Silwa,Pandambili,-6.09225,36.79147222,1352,8.6,0.32,mill,16_4,-6.09225,36.79147222
16,12nov15_02,16nov15_04_003,sembe,none,homegrown,6,Silwa,Pandambili,-6.09225,36.79147222,1352,0.9,0.13,mill,16_4,-6.09225,36.79147222
61,19nov15_03,17nov15_01_001,sembe,none,homegrown,5,Iduo,Iduo,-6.266722222,36.64530556,1195,5.3,0.04,mill,17_1,-6.266722222,36.64530556
70,20nov15_02,17nov15_01_002,sembe,none,homegrown,5,Iduo,Iduo,-6.266722222,36.64530556,1195,10.9,0.33,mill,17_1,-6.266722222,36.64530556
45,17nov15_03,17nov15_02_001,sembe,wholekmaize,purchased,5,Iduo,Iduo,-6.267527778,36.65205556,1188,3.2,0.09,mill,17_2,-6.267527778,36.65205556
75,20nov15_04,17nov15_02_002,dona,wholekmaize,homegrown,5,Iduo,Iduo,-6.267527778,36.65205556,1188,3.7,0.07,mill,17_2,-6.267527778,36.65205556
35,16nov15_03,17nov15_02_003,sembe,none,purchased,5,Iduo,Iduo,-6.267527778,36.65205556,1188,3.3,0.52,mill,17_2,-6.267527778,36.65205556
71,20nov15_03,17nov15_03_001,sembe,none,homegrown,5,Iduo,Iduo,-6.267527778,36.65205556,1188,4.7,0.05,mill,17_3,-6.267527778,36.65205556
43,17nov15_02,17nov15_03_002,sembe,none,purchased,5,Suguta,Iduo,-6.295305556,36.68294444,1120,23.8,0.69,mill,17_3,-6.295305556,36.68294444
21,13nov15_01,17nov15_03_003,sembe,wholekmaize,purchased,4,Suguta,Iduo,-6.295305556,36.68294444,1120,4.4,0.08,mill,17_3,-6.295305556,36.68294444
74,20nov15_04,17nov15_03_004,sembe,wholekmaize,homegrown,5,Suguta,Iduo,-6.295305556,36.68294444,1120,3.9,0.28,mill,17_3,-6.295305556,36.68294444
1,10nov15_02,18nov15_01_001,sembe,none,purchased,NA,Sejeli,Sejeli,-6.023,36.31969444,965,48.2,0.27,mill,18_1,-6.023,36.31969444
3,10nov15_03,18nov15_01_002,dona,none,purchased,5,Sejeli,Sejeli,-6.023,36.31969444,965,89.4,1.67,mill,18_1,-6.023,36.31969444
29,16nov15_01,18nov15_02_001,sembe,none,purchased,5,Sejeli,Sejeli,-6.031472222,36.32269444,1026,18.5,0.42,mill,18_2,-6.031472222,36.32269444
14,12nov15_01,18nov15_02_002,dona,none,purchased,5,Sejeli,Sejeli,-6.031472222,36.32269444,1026,94.1,0.24,mill,18_2,-6.031472222,36.32269444
7,11nov15_01,18nov15_03_001,dona,none,purchased,5,Msunjilile,Sejeli,-5.963194444,36.35347222,1059,27.9,0.4,mill,18_3,-5.963194444,36.35347222
55,18nov15_03,18nov15_03_002,dona,none,purchased,5,Msunjilile,Sejeli,-5.963194444,36.35347222,1059,87.3,0.17,mill,18_3,-5.963194444,36.35347222
37,16nov15_04,18nov15_03_003,dona,none,purchased,5,Msunjilile,Sejeli,-5.963194444,36.35347222,1059,105.1,1.12,mill,18_3,-5.963194444,36.35347222
52,18nov15_02,18nov15_03_004,dona,none,purchased,5,Msunjilile,Sejeli,-5.963194444,36.35347222,1059,65.4,0.59,mill,18_3,-5.963194444,36.35347222
4,10nov15_03,19nov15_01_001,dona,none,purchased,NA,Chilanjilizi,Ngomai,-5.888555556,36.61544444,1280,7.6,0.76,mill,19_1,-5.888555556,36.61544444
68,20nov15_02,19nov15_01_002,sembe,none,homegrown,5,Chilanjilizi,Ngomai,-5.888555556,36.61544444,1280,111.6,0.02,mill,19_1,-5.888555556,36.61544444
69,20nov15_02,19nov15_01_003,dona,none,purchased,5,Chilanjilizi,Ngomai,-5.888555556,36.61544444,1280,69.1,0.04,mill,19_1,-5.888555556,36.61544444
57,18nov15_03,19nov15_02_001,dona,none,purchased,4,Chilanjilizi,Ngomai,-5.889083333,36.616,1269,94.1,0.63,mill,19_2,-5.889083333,36.616
66,20nov15_01,19nov15_02_002,dona,none,homegrown,6,Chilanjilizi,Ngomai,-5.889083333,36.616,1269,41.1,0.07,mill,19_2,-5.889083333,36.616
63,19nov15_01,19nov15_03_001,sembe,none,homegrown,5,Manyata,Ngomai,-6.024055556,36.64216667,1183,42.5,0.42,mill,19_3,-6.024055556,36.64216667
23,13nov15_02,19nov15_03_002,sembe,none,homegrown,5,Manyata,Ngomai,-6.024055556,36.64216667,1183,2.9,0.61,mill,19_3,-6.024055556,36.64216667
15,12nov15_01,20nov15_01_001,dona,none,homegrown,4,Makawa,Makawa,-5.755222222,36.54230556,1285,7.7,0.11,mill,20_1,-5.755222222,36.54230556
67,20nov15_01,20nov15_01_002,dona,wholekmaize,homegrown,4,Makawa,Makawa,-5.755222222,36.54230556,1285,6.3,0.95,mill,20_1,-5.755222222,36.54230556
25,13nov15_03,20nov15_02_001,sembe,wholekmaize,homegrown,4,Makawa,Makawa,-5.753472222,36.53955556,1291,2.6,0.04,mill,20_2,-5.753472222,36.53955556
49,18nov15_01,20nov15_02_002,dona,none,purchased,4,Makawa,Makawa,-5.753472222,36.53955556,1291,2.7,0.42,mill,20_2,-5.753472222,36.53955556
60,19nov15_03,20nov15_02_003,sembe,none,homegrown,4,Makawa,Makawa,-5.753472222,36.53955556,1291,1.1,0.73,mill,20_2,-5.753472222,36.53955556
40,17nov15_01,20nov15_03_001,sembe,none,homegrown,4,Muungano,Makawa,-5.760805556,36.54888889,1308,72.8,0.67,mill,20_3,-5.760805556,36.54888889
72,20nov15_03,20nov15_03_002,sembe,none,homegrown,4,Muungano,Makawa,-5.760805556,36.54888889,1308,6.9,0.27,mill,20_3,-5.760805556,36.54888889
47,17nov15_03,20nov15_04_001,sembe,none,homegrown,5,Muungano,Makawa,-5.766638889,36.54872222,1308,39.6,0.3,mill,20_4,-5.766638889,36.54872222
73,20nov15_04,20nov15_04_002,sembe,none,homegrown,5,Muungano,Makawa,-5.766638889,36.54872222,1308,7.3,0.44,mill,20_4,-5.766638889,36.54872222
5,10nov15_04,20nov15_04_003,dona,none,homegrown,4,Muungano,Makawa,-5.766638889,36.54872222,1308,19.7,1.18,mill,20_4,-5.766638889,36.54872222
82,10nov15_003,HH01_FMN_01,NA,NA,homegrown,NA,Mkoka,Mkoka,-5.81526469,36.43457988,1210,7.7,0.01,hh,NA,NA,NA
85,11nov15_004,HH02_FMN_07,NA,NA,homegrown,NA,Mkoka,Mkoka,-5.81570416,36.43228986,1205,7.2,0,hh,NA,NA,NA
83,11nov15_004,HH03_FMN_11,NA,NA,homegrown,NA,Mkoka,Mkoka,-5.8153124,36.4376076,1204,3.8,0,hh,NA,NA,NA
81,10nov15_002,HH04_FMN_13,NA,NA,homegrown,NA,Mvungurumo,Mkoka,-5.84096474,36.39530808,1182,76.9,0.01,hh,NA,NA,NA
79,10nov15_002,HH05_FMN_17,NA,NA,homegrown,NA,Mvungurumo,Mkoka,-5.84109676,36.3943001,1172,128.4,0.01,hh,NA,NA,NA
76,10nov15_001,HH06_FMN_20,NA,NA,homegrown,NA,Mvungurumo,Mkoka,-5.84962492,36.3837686,1155,41.3,0.01,hh,NA,NA,NA
80,10nov15_002,HH07_FMN_21,NA,NA,homegrown,NA,Mnuku,Mkoka,-5.80658727,36.3809986,1197,99.6,0.75,hh,NA,NA,NA
77,10nov15_001,HH08_FMN_20a,NA,NA,homegrown,NA,Ibwaga,Ugogoni,-6.1966944,36.4097165,1000,3.8,0.03,hh,NA,NA,NA
84,11nov15_004,HH09_FMN_26,NA,NA,purchased,NA,Ibwaga,Ugogoni,-6.22564206,36.47618864,1131,26.5,0.04,hh,NA,NA,NA
87,11nov15_005,HH10_FMN_29,NA,NA,homegrown,NA,Ibwaga,Ugogoni,-6.21851645,36.46728651,1178,15.7,0.04,hh,NA,NA,NA
78,10nov15_001,HH12_FMN_36,NA,NA,homegrown,NA,Mautya,Ugogoni,-6.16152307,36.48848426,1075,41,0,hh,NA,NA,NA
100,13nov15_012,HH13_FMN_38,soaked_sembe,NA,homegrown,NA,Mautya,Ugogoni,-6.14844069,36.47582494,1055,7.3,0.03,hh,NA,NA,NA
95,12nov15_010,HH14_FMN_41a,soaked_sembe,NA,homegrown,NA,Mautya,Ugogoni,-6.14844069,36.47582494,1055,23.3,0.02,hh,NA,NA,NA
104,16nov15_013,HH15_FMN_42b,sembe,NA,homegrown,6,Mtanana,Mtanana,-6.04530433,36.57343522,1239,42.2,0.03,hh,NA,NA,NA
90,12nov15_006,HH16_FMN_43,sembe,NA,homegrown,5,Mtanana,Mtanana,-6.04530433,36.57343522,1239,15.8,0,hh,NA,NA,NA
92,12nov15_007,HH17_FMN_45,soaked_sembe,NA,homegrown,5,Ndalibo,Mtanana,-5.9955081,36.55061028,1236,8.2,0.01,hh,NA,NA,NA
109,16nov15_014,HH18_FMN_46b,sembe,NA,homegrown,5,Ndalibo,Mtanana,-5.99526369,36.55080633,1240,17.8,0.57,hh,NA,NA,NA
112,17nov15_015,HH19_FMN_50,dona,NA,homegrown,5,Ndalibo,Mtanana,-5.99332587,36.54996408,1226,71.3,0.01,hh,NA,NA,NA
88,11nov15_005,HH20_FMN_52a,soaked_sembe,NA,homegrown,4,Ndalibo,Mtanana,-5.994085,36.54982694,1217,24.9,0,hh,NA,NA,NA
103,16nov15_013,HH21_FMN_52b,sembe,NA,homegrown,5,Matongoro,Matongoro,-5.80262434,36.46723072,1198,6.9,0.13,hh,NA,NA,NA
130,20nov15_021,HH23_FMN_60,dona,NA,homegrown,5,Matongoro,Matongoro,-5.80379187,36.46658859,1266,33.4,0.02,hh,NA,NA,NA
99,13nov15_011,HH24_FMN_62,sembe,NA,homegrown,5,Matongoro,Matongoro,-5.80353419,36.46837318,1237,18.1,0.04,hh,NA,NA,NA
105,16nov15_013,HH25_FMN_64,soaked_sembe,NA,homegrown,3,Mlanje,Matongoro,-5.77586038,36.46186949,1291,2.8,0.02,hh,NA,NA,NA
98,13nov15_011,HH26_FMN_69,dona,NA,homegrown,5,Mlanje,Matongoro,-5.7751454,36.46222818,1240,2.5,0.62,hh,NA,NA,NA
102,13nov15_012,HH27_FMN_76,dona,NA,homegrown,5,Mlanje,Matongoro,-5.7751454,36.46222818,1240,22.2,0.02,hh,NA,NA,NA
110,17nov15_015,HH28_FMN_78,sembe,NA,homegrown,4,Pandambili,Pandambili,-6.08431211,36.7324019,1292,6.6,0.05,hh,NA,NA,NA
127,19nov15_019,HH29_FMN_80,sembe,NA,homegrown,4,Pandambili,Pandambili,-6.08454138,36.72664086,1310,2,0.04,hh,NA,NA,NA
89,11nov15_005,HH30_FMN_82,soaked_sembe,NA,homegrown,4,Pandambili,Pandambili,-6.08410314,36.73717001,1325,0.3,0.05,hh,NA,NA,NA
108,16nov15_014,HH32_FMN_85,sembe,NA,homegrown,4,Silwa,Pandambili,-6.11196316,36.77191326,1335,0.2,0.08,hh,NA,NA,NA
