sample_id,grain_mill_id,longitude,latitude,village,walking_distance_min,flour_type,source,elevation_m,af_ppb,af_log10ppb,fum_ppm,fum_log10ppm
1_1,1,36.6488248,-6.266411366,Iduo,60,sembe,homegrown,1145.33519,44.48,1.648164779,0.113,-0.946921557
1_10,1,36.6488248,-6.266411366,Iduo,50,sembe,homegrown,1269.09167,14.954,1.174757376,0.797,-0.098541679
1_2,1,36.6488248,-6.266411366,Iduo,120,sembe,homegrown,1161.010388,75.9,1.880241776,0.227,-0.643974143
1_3,1,36.6488248,-6.266411366,Iduo,300,sembe,homegrown,1406.426404,9.94,0.997386384,0.22,-0.657577319
1_4,1,36.6488248,-6.266411366,Iduo,15,sembe,homegrown,1381.078297,2.252,0.352568386,0.691,-0.160521953
1_5,1,36.6488248,-6.266411366,Iduo,300,sembe,homegrown,1237.44456,44.42,1.647578554,1.163,0.065579715
1_6,1,36.6488248,-6.266411366,Iduo,120,sembe,homegrown,1189.378237,85.88,1.933892036,0.522,-0.282329497
1_7,1,36.6488248,-6.266411366,Iduo,120,sembe,homegrown,NA,31.28,1.495266744,0.293,-0.53313238
1_8,1,36.6488248,-6.266411366,Iduo,30,dona,homegrown,1286.168975,41.98,1.623042434,1.152,0.061452479
10_1,10,36.81153669,-6.175524289,Moleti,NA,NA,homegrown,1145.33519,112.72,2.05200098,0.7,-0.15490196
10_2,10,36.81153669,-6.175524289,Moleti,60,sembe,homegrown,1161.010388,76.82,1.885474303,0.835,-0.078313525
10_3,10,36.81153669,-6.175524289,Moleti,60,sembe,homegrown,1406.426404,26.66,1.425860145,0.493,-0.307153081
10_4,10,36.81153669,-6.175524289,Moleti,180,sembe,homegrown,1381.078297,22.94,1.360593414,1.483,0.171141151
10_5,10,36.81153669,-6.175524289,Moleti,180,sembe,homegrown,1237.44456,47.94,1.68069803,1.783,0.251151343
10_6,10,36.81153669,-6.175524289,Moleti,20,sembe,homegrown,1189.378237,405.36,2.607840891,3.275,0.515211304
13_2,13,36.74597763,-6.122935712,Lengaji,10,dona,homegrown,1161.010388,3535.6,3.548463125,0.191,-0.718966633
14_1,14,36.54711082,-6.250655778,Sagara A,60,sembe,homegrown,1145.33519,2.248,0.351796307,0.228,-0.642065153
14_2,14,36.54711082,-6.250655778,Sagara A,60,sembe,homegrown,1161.010388,2.956,0.47070443,0.553,-0.257274869
14_3,14,36.54711082,-6.250655778,Sagara A,120,sembe,homegrown,1406.426404,6.408,0.806722503,0.744,-0.128427064
15_1,15,36.57424453,-6.246071083,Ijaka,45,sembe,homegrown,1145.33519,51.28,1.709948017,0.161,-0.793174124
16_1,16,36.53862865,-6.249147765,Sagara B,120,sembe,homegrown,1145.33519,257.84,2.411350293,1.506,0.177824972
17_1,17,36.57580577,-6.245691836,Ijaka,60,sembe,homegrown,1145.33519,240.22,2.380609163,0.215,-0.66756154
17_2,17,36.57580577,-6.245691836,Ijaka,120,sembe,homegrown,1161.010388,61.62,1.789721694,0.508,-0.294136288
18_1,18,36.67164217,-6.322671542,Chamkoroma,60,sembe,homegrown,1145.33519,10.717,1.030073231,1.197,0.07809415
18_2,18,36.67164217,-6.322671542,Chamkoroma,30,sembe,homegrown,1161.010388,11.233,1.050495759,3.415,0.533390708
19_1,19,36.67453627,-6.319204255,Chamkoroma,45,sembe,homegrown,1145.33519,1711.2,3.233300772,0.107,-0.970616222
19_2,19,36.67453627,-6.319204255,Chamkoroma,30,sembe,homegrown,1161.010388,12.07,1.08170727,0.394,-0.404503778
19_3,19,36.67453627,-6.319204255,Chamkoroma,300,sembe,homegrown,1406.426404,36.46,1.561816664,0.4,-0.397940009
19_4,19,36.67453627,-6.319204255,Chamkoroma,NA,NA,homegrown,1381.078297,9.913,0.996205106,1.082,0.034227261
2_1,2,36.64523011,-6.266841338,Iduo,120,sembe,homegrown,1145.33519,245.24,2.389591307,0.756,-0.121478204
2_2,2,36.64523011,-6.266841338,Iduo,120,dona,homegrown,1161.010388,17.654,1.246843122,13.08,1.116607744
2_3,2,36.64523011,-6.266841338,Iduo,120,sembe,homegrown,1406.426404,4.662,0.668572269,0.217,-0.663540266
2_4,2,36.64523011,-6.266841338,Iduo,120,sembe,homegrown,1381.078297,24.04,1.380934463,1.582,0.199206479
2_5,2,36.64523011,-6.266841338,Iduo,60,sembe,homegrown,1237.44456,33.04,1.519040039,0.575,-0.240332155
20_1,20,36.3404543,-5.8913075,Banyibanyi,40,dona,homegrown,1145.33519,46.8,1.670245853,1.216,0.084933575
20_2,20,36.3404543,-5.8913075,Banyibanyi,60,dona,homegrown,1161.010388,46,1.662757832,2.072,0.316389751
20_3,20,36.3404543,-5.8913075,Banyibanyi,60,dona,homegrown,1406.426404,54.08,1.733036683,0.999,-0.000434512
20_4,20,36.3404543,-5.8913075,Banyibanyi,90,dona,homegrown,1381.078297,28.58,1.456062224,0.213,-0.671620397
20_5,20,36.3404543,-5.8913075,Banyibanyi,30,dona,homegrown,1237.44456,12.015,1.079723775,0.106,-0.974694135
21_1,21,36.33851354,-5.882690337,Banyibanyi,30,sembe,homegrown,1145.33519,29.88,1.475380593,0.131,-0.882728704
21_2,21,36.33851354,-5.882690337,Banyibanyi,60,dona,homegrown,1161.010388,98,1.991226076,0.982,-0.007888512
22_1,22,36.3416673,-5.8996575,Banyibanyi,60,dona,homegrown,1145.33519,11.12,1.046104787,1.029,0.012415375
22_2,22,36.3416673,-5.8996575,Banyibanyi,NA,dona,homegrown,1161.010388,60.28,1.780173244,2.203,0.343014497
23_1,23,36.71107343,-6.181982061,Vihingo,60,sembe,homegrown,1145.33519,42.44,1.627775375,0.254,-0.595166283
23_2,23,36.71107343,-6.181982061,Vihingo,30,sembe,homegrown,1161.010388,25.84,1.412292509,0.124,-0.906578315
23_3,23,36.71107343,-6.181982061,Vihingo,30,sembe,homegrown,1406.426404,18.284,1.262071213,0.358,-0.446116973
23_4,23,36.71107343,-6.181982061,Vihingo,420,dona,homegrown,1381.078297,75.88,1.880127322,0.19,-0.721246399
24_2,24,36.7103391,-6.182004,Vihingo,60,sembe,homegrown,1161.010388,20.38,1.30920418,0.82,-0.086186148
24_3,24,36.7103391,-6.182004,Vihingo,30,dona,homegrown,1406.426404,70.76,1.849787824,0.686,-0.163675884
24_4,24,36.7103391,-6.182004,Vihingo,30,sembe,homegrown,1381.078297,18.341,1.263423011,0.286,-0.543633967
24_5,24,36.7103391,-6.182004,Vihingo,15,sembe,homegrown,1237.44456,232.22,2.365899621,0.963,-0.016373713
24_6,24,36.7103391,-6.182004,Vihingo,NA,dona,homegrown,1189.378237,36.44,1.561578368,2.425,0.384711743
25_1,25,36.5266966,-6.1813711,Msingisa,60,sembe,homegrown,1145.33519,80.92,1.908055874,0.592,-0.227678293
26_1,26,36.53147305,-6.184373167,Msingisa,90,sembe,homegrown,1145.33519,191.68,2.282576801,0.245,-0.610833916
26_2,26,36.53147305,-6.184373167,Msingisa,60,sembe,homegrown,1161.010388,18.68,1.271376872,0.685,-0.164309429
27_2,27,36.5280649,-6.17966947,Msingisa,60,dona,homegrown,1161.010388,228.36,2.358620034,50.43,1.702688968
27_3,27,36.5280649,-6.17966947,Msingisa,30,kiwerege,homegrown,1406.426404,12.183,1.085754244,0.12,-0.920818754
28_1,28,36.4748331,-6.1758314,Mautya,45,sembe,homegrown,1145.33519,7.22,0.858537198,0.153,-0.815308569
28_3,28,36.4748331,-6.1758314,Mautya,90,dona,homegrown,1406.426404,75.54,1.87817698,3.75,0.574031268
28_4,28,36.4748331,-6.1758314,Mautya,18,sembe,homegrown,1381.078297,60.32,1.780461333,0.1,-1
28_5,28,36.4748331,-6.1758314,Mautya,120,sembe,homegrown,1237.44456,23.06,1.362859303,0.607,-0.216811309
29_1,29,36.5506109,-5.9958849,Ndalibo,30,sembe,homegrown,1145.33519,1485.8,3.171960354,1.445,0.159867847
29_2,29,36.5506109,-5.9958849,Ndalibo,15,sembe,homegrown,1161.010388,37.74,1.576801896,0.318,-0.49757288
29_3,29,36.5506109,-5.9958849,Ndalibo,240,sembe,homegrown,1406.426404,28.82,1.459693976,1.094,0.039017322
29_4,29,36.5506109,-5.9958849,Ndalibo,90,dona,homegrown,1381.078297,9.925,0.996730515,0.548,-0.261219442
29_5,29,36.5506109,-5.9958849,Ndalibo,120,dona,homegrown,1237.44456,17.152,1.234314768,0.391,-0.407823243
29_6,29,36.5506109,-5.9958849,Ndalibo,60,dona,homegrown,1189.378237,19.546,1.291057894,0.51,-0.292429824
3_1,3,36.82885846,-6.316180474,Nghumbi,60,sembe,homegrown,1145.33519,15.015,1.176525337,0.095,-1.022276395
3_2,3,36.82885846,-6.316180474,Nghumbi,180,sembe,homegrown,1161.010388,10.465,1.019739233,0.127,-0.896196279
3_3,3,36.82885846,-6.316180474,Nghumbi,60,sembe,homegrown,1406.426404,9.625,0.983400738,0.056,-1.251811973
3_4,3,36.82885846,-6.316180474,Nghumbi,60,sembe,homegrown,1381.078297,20.709,1.316159128,0.091,-1.040958608
3_5,3,36.82885846,-6.316180474,Nghumbi,120,sembe,homegrown,1237.44456,103.98,2.016949813,0.53,-0.27572413
3_6,3,36.82885846,-6.316180474,Nghumbi,60,sembe,homegrown,1189.378237,11.364,1.055531225,0.188,-0.725842151
30_1,30,36.55156649,-5.996364115,Ndalibo,120,dona,homegrown,1145.33519,17.94,1.253822439,0.651,-0.186419011
30_2,30,36.55156649,-5.996364115,Ndalibo,120,sembe,homegrown,1161.010388,58.3,1.765668555,1.408,0.148602655
30_3,30,36.55156649,-5.996364115,Ndalibo,60,sembe,homegrown,1406.426404,2.064,0.314709693,0.13,-0.886056648
31_1,31,36.4501945,-5.894315,Songambele B,60,sembe,homegrown,1145.33519,9337,3.970207359,1.006,0.002597981
32_1,32,36.45024052,-5.885156935,Songambele B,60,sembe,homegrown,1145.33519,159.74,2.20341368,1.666,0.221674997
33_1,33,36.44982697,-5.887778798,Songambele B,300,sembe,homegrown,1145.33519,16.499,1.217457623,1.306,0.115943177
34_1,34,36.4510816,-5.9543233,Hogoro,60,sembe,homegrown,1145.33519,130.26,2.114811074,1.289,0.110252917
35_1,35,36.44962642,-5.944333246,Hogoro,60,sembe,homegrown,1145.33519,20.524,1.312262006,0.855,-0.068033885
35_2,35,36.44962642,-5.944333246,Hogoro,30,kiwerege,homegrown,1161.010388,51.52,1.711975854,0.867,-0.061980903
35_3,35,36.44962642,-5.944333246,Hogoro,120,dona,homegrown,1406.426404,28.64,1.456973014,3.815,0.581494542
36_1,36,36.3398938,-6.1519948,Manungu,60,sembe,homegrown,1145.33519,66.62,1.823604628,1.039,0.016615548
36_2,36,36.3398938,-6.1519948,Manungu,30,sembe,homegrown,1161.010388,12.894,1.110387666,0.004,-2.397940009
36_3,36,36.3398938,-6.1519948,Manungu,60,sembe,homegrown,1406.426404,29.72,1.473048805,2.143,0.331022171
36_4,36,36.3398938,-6.1519948,Manungu,30,sembe,homegrown,1381.078297,27.56,1.440279213,0.966,-0.015022874
36_5,36,36.3398938,-6.1519948,Manungu,10,dona,homegrown,1237.44456,52.88,1.723291446,1.073,0.030599722
37_1,37,36.34226754,-6.157722475,Manungu,45,sembe,homegrown,1145.33519,47.5,1.67669361,0.847,-0.07211659
37_2,37,36.34226754,-6.157722475,Manungu,120,sembe,homegrown,1161.010388,91.42,1.961041217,0.532,-0.274088368
