collection_date,day,month,year,grain_mill_id,sample_id,planting_month,planting_dekad,harvest_month,harvest_dekad,seed_type,other_seed_type,intercropped,intercrop_crop,number_intercrop,fertilizer,water_stress,drought_period,pest_pressure,maize_maturity,mature_rain,maize_dry,dried_rain,maize_shelled,drying_place,other_drying_place,maize_storage_merged,sort_maize_merged,flour_type,sample_lost_yes-1_no-0,mill_lat,mill_long,mill_village,mill_ward
17/05/19,17,5,2019,1,1,1,1901,5,1914,8,NA,2,Cowpea,1,NA,1,2,2,1,2,1,2,2,"2, 5",Nje,bags,winnow,2,1,-6.266411366,36.6488248,Iduo,Iduo
17/05/19,17,5,2019,1,2,12,1836,5,1913,8,NA,2,Sorghum,1,NA,1,1,2,1,1,1,1,2,"2, 5",Nje,bags,winnow,2,1,-6.266411366,36.6488248,Iduo,Iduo
17/05/19,17,5,2019,1,3,1,1901,5,1914,NA,NA,2,Sunflower,1,NA,1,2,3,1,1,1,1,2,5,"Shambani. Kuvuna, kupuchua na kusaga.",none,"winnow, sort",2,1,-6.266411366,36.6488248,Iduo,Iduo
17/05/19,17,5,2019,1,4,12,1836,5,1914,8,NA,2,"Pumpkin, Sunflower",2,NA,1,2,3,1,1,1,1,2,5,Shambani,none,"winnow, sort",2,1,-6.266411366,36.6488248,Iduo,Iduo
17/05/19,17,5,2019,1,5,12,1836,5,1914,8,NA,1,NA,0,NA,1,2,2,1,1,1,1,3,"2, 5",Nje,none,"winnow, sort",2,1,-6.266411366,36.6488248,Iduo,Iduo
17/05/19,17,5,2019,1,6,12,1835,5,1913,8,NA,1,NA,0,NA,1,"1, 2, 3",1,1,1,1,1,1,"1, 4",NA,bags,winnow,2,1,-6.266411366,36.6488248,Iduo,Iduo
17/05/19,17,5,2019,1,7,12,1836,5,1913,2,NA,1,NA,0,NA,1,"1, 2",1,1,1,1,1,2,5,NA,bags,"winnow, sort",2,1,-6.266411366,36.6488248,Iduo,Iduo
17/05/19,17,5,2019,1,8,1,1901,5,1914,8,NA,2,Groundnut,1,NA,1,1,2,1,1,1,1,2,2,NA,bags,"winnow, sort",1,1,-6.266411366,36.6488248,Iduo,Iduo
17/05/19,17,5,2019,1,9,1,1901,5,1914,8,NA,2,Sunflower,1,NA,1,2,3,1,1,1,1,1,2,NA,bags,"winnow, sort",1,0,-6.266411366,36.6488248,Iduo,Iduo
17/05/19,17,5,2019,1,10,1,1901,4,1912,"8, 9","""Ndefu"" aina",2,NA,NA,1,1,"1, 2, 3",3,1,2,1,2,2,2,NA,bags,"winnow, sort",2,1,-6.266411366,36.6488248,Iduo,Iduo
